FAULT 2:23.5 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 2:28.0 S138 | shaft ban clear left-xz ban=207,86 now=209,86 manh=2 left=7 | pillar state machine: check ban column vs actual shaft column
FAULT 2:28.3 S134 | pillar cool expire after flips=3 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 2:28.4 S138 | shaft ban clear left-xz ban=207,86 now=210,87 manh=4 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 2:34.4 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=207,62,98 walls=4/4/4 sky=15 place=47 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:36.2 E100 | jumps=11 @207,66,98 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:36.2 S139 | rise confirmed +4y y=66 startY=62 pos=207,66,98 walls=0/0/0 sky=15 place=45 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 2:36.2 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=207,98 pos=207,66,98 walls=0/0/0 sky=15 place=45 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:36.2 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=207,66,98 walls=0/0/0 sky=15 place=45 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:36.9 S138 | shaft ban clear left-xz ban=207,98 now=207,96 manh=2 left=67 | pillar state machine: check ban column vs actual shaft column
FAULT 2:37.8 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 2:39.8 S135 | S130 suppressed why=would-S130 but busy cool=9 flips=3 sameXz=45 child=CollectIronIngotTask cool=9 ban=0 hold=false pos=205,62,94 walls=4/4/4 sky=15 place=46 boxed=true hold=false cool=9 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:40.2 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 2:40.3 S138 | shaft ban clear left-xz ban=207,98 now=205,94 manh=6 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 2:41.6 E100 | jumps=6 @205,61,94 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:41.9 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=205,60,94 walls=4/4/4 sky=15 place=48 boxed=true hold=false cool=0 ban=0 startY=60 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:43.7 S139 | rise confirmed +4y y=64 startY=60 pos=205,64,94 walls=0/0/4 sky=15 place=46 boxed=false hold=true cool=0 ban=0 startY=60 step=37 | rise confirmed: real escape, cool armed
FAULT 2:43.7 S133 | cool arm ticks=80 reason=risen y=64 startY=60 ban=205,94 pos=205,64,94 walls=0/0/4 sky=15 place=46 boxed=false hold=true cool=80 ban=80 startY=60 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:43.7 S136 | END reason=risen y=64 startY=60 roseReal=true giveUp=true pos=205,64,94 walls=0/0/4 sky=15 place=46 boxed=false hold=true cool=80 ban=80 startY=60 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 2:45.1 S135 | S130 suppressed why=would-S130 but busy cool=52 flips=3 sameXz=28 child=CollectIronIngotTask cool=52 ban=52 hold=false pos=205,62,94 walls=4/4/4 sky=15 place=46 boxed=true hold=false cool=52 ban=52 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:47.0 S100 | stop jump-walk @205,94 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:47.2 S135 | S130 suppressed why=would-S130 but busy cool=11 flips=0 sameXz=69 child=CollectIronIngotTask cool=11 ban=11 hold=false pos=205,60,94 walls=4/4/4 sky=15 place=48 boxed=true hold=false cool=11 ban=11 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:47.7 S134 | pillar cool expire after flips=3 end=risen y=64 startY=60 | pillar state machine: check ban column vs actual shaft column
