FAULT 2:41.8 E70 | iron stall 6s @-102,11 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 2:47.8 E70 | iron stall 6s @-102,10 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 2:53.8 E70 | iron stall 6s @-103,10 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:06.8 E70 | iron stall 6s @-95,13 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:11.4 S130 | START trigger=flips=5 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-100,63,24 walls=4/4/4 sky=11 place=67 boxed=true hold=false cool=0 ban=0 startY=63 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:13.4 S139 | rise confirmed +4y y=67 startY=63 pos=-100,67,24 walls=0/0/0 sky=14 place=63 boxed=false hold=true cool=0 ban=0 startY=63 step=40 | rise confirmed: real escape, cool armed
FAULT 3:13.4 S133 | cool arm ticks=80 reason=risen y=67 startY=63 ban=-100,24 pos=-100,67,24 walls=0/0/0 sky=14 place=63 boxed=false hold=true cool=80 ban=80 startY=63 step=40 | pillar state machine: check ban column vs actual shaft column
FAULT 3:13.4 S136 | END reason=risen y=67 startY=63 roseReal=true giveUp=true pos=-100,67,24 walls=0/0/0 sky=14 place=63 boxed=false hold=true cool=80 ban=80 startY=63 step=40 | pillar state machine: check ban column vs actual shaft column
FAULT 3:13.7 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:14.1 S138 | shaft ban clear left-xz ban=-100,24 now=-102,24 manh=2 left=67 | pillar state machine: check ban column vs actual shaft column
FAULT 3:17.4 S134 | pillar cool expire after flips=5 end=risen y=67 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 3:17.4 S138 | shaft ban clear left-xz ban=-100,24 now=-103,24 manh=3 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 3:21.4 S120 | craft-gui jump @-103,66,24 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:28.8 S120 | craft-gui jump @-100,66,25 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:29.4 E70 | iron stall 6s @-100,24 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:34.8 S120 | craft-gui jump @-100,66,24 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:35.4 E70 | iron stall 6s @-100,24 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:42.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:44.6 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 3:45.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:48.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:51.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 3:52.7 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 3:54.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 3:57.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:00.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:00.8 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:03.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:06.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:08.9 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:09.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:12.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 4:15.0 S120 | craft-gui jump @-98,66,23 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 4:17.0 E104 | FurnaceScreen open 8s ph=IRON | GUI open: close screen before pathing
FAULT 4:18.6 E70 | iron stall 6s @-98,23 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
