FAULT 5:40.9 S135 | S130 suppressed why=would-S130 but busy cool=0 flips=4 sameXz=25 child=CollectIronIngotTask cool=0 ban=36 hold=false pos=-309,60,137 walls=4/4/4 sky=15 place=1 boxed=true hold=false cool=0 ban=36 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:41.6 E100 | jumps=10 @-309,59,137 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 5:41.7 S100 | stop jump-walk @-309,137 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 5:42.7 S130 | START trigger=sameXz=61 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-309,59,137 walls=4/4/4 sky=15 place=3 boxed=true hold=false cool=0 ban=0 startY=59 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:44.0 S133 | cool arm ticks=240 reason=!hasPlace y=62 ban=-309,137 pos=-309,62,137 walls=4/4/4 sky=15 place=0 boxed=true hold=true cool=240 ban=240 startY=59 step=26 | pillar state machine: check ban column vs actual shaft column
FAULT 5:44.0 S136 | END reason=!hasPlace y=62 roseReal=false giveUp=true pos=-309,62,137 walls=4/4/4 sky=15 place=0 boxed=true hold=true cool=240 ban=240 startY=59 step=26 | pillar state machine: check ban column vs actual shaft column
FAULT 5:44.4 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 5:56.0 S134 | pillar cool expire after sameXz=61 end=!hasPlace y=62 | pillar state machine: check ban column vs actual shaft column
FAULT 6:04.9 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-307,56,139 walls=4/4/4 sky=3 place=12 boxed=true hold=false cool=0 ban=0 startY=56 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:07.4 S133 | cool arm ticks=240 reason=stuck-low step=50 y=58 startY=56 ban=-307,139 pos=-307,58,139 walls=3/3/4 sky=5 place=11 boxed=false hold=true cool=240 ban=240 startY=56 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 6:07.4 S136 | END reason=stuck-low step=50 y=58 startY=56 roseReal=false giveUp=true pos=-307,58,139 walls=3/3/4 sky=5 place=11 boxed=false hold=true cool=240 ban=240 startY=56 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 6:07.8 E100 | jumps=14 @-307,58,139 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:11.5 S135 | S130 suppressed why=would-S130 but busy cool=158 flips=3 sameXz=23 child=CollectIronIngotTask cool=158 ban=158 hold=false pos=-306,56,139 walls=4/4/4 sky=2 place=14 boxed=true hold=false cool=158 ban=158 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:12.6 S100 | stop jump-walk @-306,139 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:12.6 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 6:14.4 E100 | jumps=8 @-306,56,139 ph=IRON child=TimeoutWanderTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 6:15.7 S138 | shaft ban clear left-xz ban=-307,139 now=-309,139 manh=2 left=75 | pillar state machine: check ban column vs actual shaft column
FAULT 6:19.4 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=58 startY=56 | pillar state machine: check ban column vs actual shaft column
FAULT 6:19.4 S138 | shaft ban clear left-xz ban=-307,139 now=-309,136 manh=5 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 6:24.1 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-310,62,132 walls=4/4/4 sky=15 place=14 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 6:26.0 S139 | rise confirmed +4y y=66 startY=62 pos=-310,66,132 walls=0/0/0 sky=15 place=11 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 6:26.0 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-310,132 pos=-310,66,132 walls=0/0/0 sky=15 place=11 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 6:26.0 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-310,66,132 walls=0/0/0 sky=15 place=11 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 6:26.9 E100 | jumps=13 @-310,64,132 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
